time,CPU_usage,MEM_usage,Net_rx,Net_tx
40.0,0.9177818181818181,373.997568,38.448,36.793
40.5,1.4756560196560198,373.997568,38.448,36.793
41.0,1.2005200327064596,373.997568,38.534,36.937
41.5,1.7232330097087378,373.997568,38.534,36.937
42.0,1.2401628664495115,373.997568,38.534,36.937
42.5,1.1987524752475247,373.997568,38.62,37.081
43.0,1.3881287128712871,373.997568,38.62,37.081
43.5,0.7448885272579333,373.997568,38.62,37.081
44.0,0.6670909090909092,373.997568,38.706,37.225
44.5,1.2885657568238211,373.997568,38.706,37.225
45.0,1.6786503667481663,374.038528,39.57,38.229
45.5,1.2578011503697617,374.034432,39.656,38.373
46.0,0.6800691358024691,374.034432,39.74,38.457
46.5,1.4365784716516024,374.034432,39.74,38.457
47.0,1.1775099337748345,374.034432,39.826,38.601
47.5,1.0038435207823961,374.038528,40.39,39.534
48.0,0.9010891089108911,374.038528,40.46,39.534
48.5,1.0545847665847667,374.038528,40.546,39.678
49.0,1.644856439704676,374.042624,40.546,39.678
49.5,0.8422978723404256,374.042624,40.546,39.678
50.0,1.2189645507007418,374.04672,40.632,39.822
50.5,1.0461411192214112,374.04672,40.632,39.822
51.0,0.8972493946731235,374.04672,40.632,39.822
51.5,1.4210090386195562,374.04672,40.718,39.966
52.0,0.7682576383154418,374.04672,40.718,39.966
52.5,1.9592798053527978,374.04672,40.718,39.966
53.0,1.0485037037037037,374.050816,40.804,40.11
53.5,0.8742389735364877,374.181888,41.426,41.04
54.0,1.3342871287128715,374.181888,41.426,41.04
54.5,0.8748039867109634,374.181888,41.554,41.226
55.0,1.4419061728395062,374.181888,41.554,41.226
55.5,1.3268419354838707,374.181888,41.554,41.226
56.0,0.9082094926350244,374.181888,41.64,41.37
56.5,1.4281560975609757,374.181888,41.64,41.37
57.0,0.9051193548387096,374.181888,41.64,41.37
57.5,1.4693970345963758,374.181888,41.726,41.514
58.0,0.8296019900497512,374.181888,41.726,41.514
58.5,1.0304763485477177,374.181888,41.726,41.514
59.0,1.1058947368421053,374.181888,41.812,41.658
59.5,1.0104251207729469,374.181888,41.812,41.658
60.0,1.7654790468364832,374.181888,41.812,41.658
60.5,1.1574851485148514,374.181888,41.898,41.802
61.0,1.1568058489033306,374.181888,41.898,41.802
61.5,1.0094643734643736,374.181888,41.898,41.802
62.0,0.7540823723228995,374.181888,41.984,41.946
62.5,1.5685317919075148,374.181888,41.984,41.946
63.0,1.2613607230895645,374.181888,42.07,42.09
63.5,1.607832786885246,374.181888,42.07,42.09
64.0,1.0098947368421054,374.181888,42.07,42.09
64.5,0.9353157024793387,374.181888,42.156,42.234
65.0,1.4787272727272727,374.181888,42.156,42.234
65.5,0.8684999999999999,374.181888,42.156,42.234
66.0,1.4746480263157895,374.181888,42.242,42.378
66.5,1.100549147034931,374.181888,42.242,42.378
67.0,1.038857142857143,374.181888,42.242,42.378
67.5,1.6677473684210526,374.194176,42.328,42.522
68.0,0.9447128712871287,374.194176,42.328,42.522
68.5,1.3384006595218465,374.194176,42.328,42.522
69.0,1.4104752475247524,374.194176,42.414,42.666
69.5,0.9832782678428228,374.194176,42.414,42.666
70.0,1.4786985172981877,374.194176,42.414,42.666
70.5,1.0088381265406738,374.194176,42.5,42.81
71.0,1.5720492206726824,374.19008,42.5,42.81
71.5,1.1692728771640561,374.19008,42.5,42.81
72.0,0.8933796445880452,374.19008,42.586,42.954
72.5,1.2950992493744788,374.19008,42.586,42.954
73.0,1.0453129525341915,374.19008,42.586,42.954
73.5,1.5284006462035542,374.19008,42.672,43.098
74.0,1.1736850783182193,374.19008,42.672,43.098
74.5,1.5272621359223302,374.198272,42.672,43.098
75.0,1.4186134663341647,374.284288,42.758,43.242
75.5,1.0496447368421054,374.284288,42.758,43.242
76.0,1.5628183306055645,374.284288,42.758,43.242
76.5,1.1937934272300468,374.284288,42.844,43.386
77.0,1.3972397094430993,374.284288,42.844,43.386
77.5,0.8201173594132029,374.284288,42.844,43.386
78.0,0.9333333333333333,374.284288,42.93,43.53
78.5,1.3596077795786061,374.284288,42.93,43.53
79.0,0.9957216,374.284288,42.93,43.53
79.5,1.2756521739130435,374.284288,43.016,43.674
80.0,1.2390829268292682,374.296576,43.016,43.674
80.5,0.9349353233830845,374.296576,43.016,43.674
81.0,1.3796615632554392,374.296576,43.102,43.818
81.5,0.9992256,374.296576,43.102,43.818
82.0,2.1809734085414987,374.296576,43.102,43.818
82.5,1.1483349753694583,374.296576,43.188,43.962
83.0,1.1526290322580646,374.296576,43.188,43.962
83.5,1.0807029702970297,374.296576,43.188,43.962
84.0,0.9574476504534213,374.296576,43.274,44.106
84.5,1.7526341072858287,374.296576,43.274,44.106
85.0,1.1405756097560975,374.296576,43.274,44.106
85.5,1.4637305533279872,374.296576,43.36,44.25
86.0,0.930546333601934,374.296576,43.36,44.25
86.5,1.1188892455858748,374.296576,43.446,44.394
87.0,1.4285077298616762,374.296576,43.446,44.394
87.5,1.1647692307692306,374.296576,43.446,44.394
88.0,1.3662732417138237,374.296576,43.532,44.538
88.5,1.3141016949152542,374.296576,43.532,44.538
89.0,1.4940445912469031,374.308864,43.532,44.538
89.5,1.4813562653562653,374.317056,43.618,44.682
90.0,0.7617712895377129,374.317056,43.618,44.682
90.5,1.4040867469879519,374.317056,43.618,44.682
91.0,1.3715299917830732,374.317056,43.704,44.826
91.5,0.91071050521251,374.317056,43.704,44.826
92.0,1.141601918465228,374.317056,43.704,44.826
92.5,1.0660610057708162,374.317056,43.79,44.97
93.0,1.6148448687350836,374.317056,43.79,44.97
93.5,1.1817756097560976,374.317056,43.79,44.97
94.0,1.1757816377171215,374.317056,43.876,45.114
94.5,0.8827877786952931,374.317056,43.876,45.114
95.0,0.9807583401139137,374.317056,43.876,45.114
95.5,1.5651202635914334,374.317056,43.962,45.258
96.0,1.0606056680161944,374.317056,43.962,45.258
96.5,2.238048465266559,374.317056,43.962,45.258
97.0,0.743142144638404,374.317056,44.048,45.402
97.5,0.7928936170212766,374.317056,44.048,45.402
98.0,1.2786753670473083,374.317056,44.048,45.402
98.5,1.307097817299919,374.317056,44.134,45.546
99.0,1.329342995169082,374.317056,44.134,45.546
99.5,1.1060345679012347,374.321152,44.134,45.546
100.0,0.9283398058252427,374.321152,44.22,45.69
100.5,1.1948304668304668,374.321152,44.22,45.69
101.0,0.9574596375617792,374.321152,44.22,45.69
101.5,1.4360450160771707,374.321152,44.306,45.834
102.0,1.0609614438063986,374.321152,44.306,45.834
102.5,1.0120263808738665,374.321152,44.306,45.834
103.0,0.9565120772946859,374.321152,44.392,45.978
103.5,0.9533388157894738,374.321152,44.392,45.978
104.0,1.828492753623188,374.329344,44.392,45.978
104.5,0.9149144254278727,374.329344,44.478,46.122
105.0,1.1467649006622516,374.329344,44.478,46.122
105.5,0.8289878934624697,374.329344,44.478,46.122
106.0,0.9835696821515891,374.329344,44.564,46.266
106.5,1.5169951219512194,374.329344,44.564,46.266
107.0,0.9772384801940178,374.329344,44.65,46.41
107.5,1.4967431340872375,374.329344,44.65,46.41
108.0,1.0304180064308683,374.329344,44.65,46.41
108.5,0.6065230263157895,374.329344,44.736,46.554
109.0,1.3017285945072699,374.329344,44.736,46.554
109.5,0.9203017656500803,374.329344,44.736,46.554
110.0,1.743080948487326,374.460416,44.822,46.698
110.5,1.3521970443349753,374.329344,44.822,46.698
