time,CPU_usage,MEM_usage,Net_rx,Net_tx
0.0,0.759367194004996,370.081792,8.818,10.58
0.5,0.6103128119800333,370.081792,8.818,10.58
1.0,0.91772,370.081792,8.904,10.724
1.5,1.2195559237779618,370.085888,8.904,10.724
2.0,1.2717605985037406,370.11456,8.904,10.724
2.5,0.4650223325062035,370.122752,8.99,10.868
3.0,0.6846194837635303,370.122752,8.99,10.868
3.5,0.7498305647840531,370.126848,8.99,10.868
4.0,0.8327562189054727,370.13504,9.076,11.012
4.5,0.7883184079601989,370.13504,9.076,11.012
5.0,0.5143311258278146,370.13504,9.076,11.012
5.5,0.6436109725685786,370.139136,9.162,11.156
6.0,0.7572857142857141,370.139136,9.162,11.156
6.5,0.44294176372712146,370.139136,9.162,11.156
7.0,0.792458091286307,370.15552,9.248,11.3
7.5,0.750774354704413,370.15552,9.318,11.3
8.0,2.967142144638404,370.171904,9.318,11.3
8.5,0.8870216306156407,370.171904,9.404,11.444
9.0,0.8583552960800667,370.171904,9.404,11.444
9.5,0.8188089330024815,370.171904,9.404,11.444
10.0,0.5564326123128119,370.184192,9.49,11.588
10.5,0.57159,370.184192,9.49,11.588
11.0,1.053052456286428,370.184192,9.49,11.588
11.5,0.5127489643744823,370.184192,9.576,11.732
12.0,0.7110324189526184,370.184192,9.576,11.732
12.5,2.038751040799334,370.192384,9.576,11.732
13.0,0.7065424292845257,370.192384,9.662,11.876
13.5,0.7373642384105961,370.323456,9.662,11.876
14.0,0.7047417218543046,370.192384,9.662,11.876
14.5,1.0184339152119701,370.323456,9.748,12.02
15.0,0.5583541147132169,370.19648,9.748,12.02
15.5,0.6032591362126245,370.19648,9.748,12.02
16.0,0.7629353233830847,370.19648,9.834,12.164
16.5,0.5191243781094528,370.19648,9.834,12.164
17.0,1.5186921161825724,370.212864,9.834,12.164
17.5,0.6107920133111481,370.212864,9.92,12.308
18.0,0.9509304635761588,370.212864,9.92,12.308
18.5,0.6082382133995037,370.212864,9.92,12.308
19.0,0.61372,370.212864,10.006,12.452
19.5,0.6909825436408978,370.212864,10.006,12.452
20.0,0.5878001665278935,370.212864,10.006,12.452
20.5,0.966089850249584,370.212864,10.092,12.596
21.0,0.5955900000000001,370.212864,10.092,12.596
21.5,0.688361825726141,370.212864,10.092,12.596
22.0,1.0973663366336635,370.212864,10.178,12.74
22.5,0.6225336658354115,370.212864,10.178,12.74
23.0,0.895455149501661,370.212864,10.178,12.74
23.5,0.765749377593361,370.212864,10.264,12.884
24.0,0.48871000000000003,370.212864,10.264,12.884
24.5,1.0055004149377593,370.221056,10.264,12.884
25.0,0.47461794019933556,370.225152,10.35,13.028
25.5,0.9500347394540943,370.225152,10.35,13.028
26.0,0.6085742738589212,370.225152,10.35,13.028
26.5,0.42749,370.225152,10.436,13.172
27.0,0.8542804979253111,370.225152,10.436,13.172
27.5,0.558804329725229,370.225152,10.436,13.172
28.0,0.6377895608947806,370.229248,10.522,13.316
28.5,0.5617256857855362,370.233344,10.522,13.316
29.0,0.6248970099667773,370.233344,10.522,13.316
29.5,0.8781282264779351,370.233344,10.608,13.46
30.0,0.7580965058236273,370.233344,10.608,13.46
30.5,1.7888379052369077,370.241536,10.608,13.46
31.0,0.4953930348258706,370.241536,10.694,13.604
31.5,0.6831007493755203,370.241536,10.694,13.604
32.0,0.7267219917012449,370.245632,10.694,13.604
32.5,0.6468090075062551,370.249728,10.78,13.748
33.0,0.6273189368770764,370.249728,10.78,13.748
33.5,1.1487281795511222,370.249728,10.78,13.748
34.0,0.56725,370.249728,10.866,13.892
34.5,0.7145436408977557,370.249728,10.866,13.892
35.0,0.6595243600330306,370.249728,10.866,13.892
35.5,4.058191826522101,370.270208,10.952,14.036
36.0,0.664526228143214,370.270208,10.952,14.036
36.5,0.5683355481727574,370.270208,10.952,14.036
37.0,0.730531017369727,370.270208,11.038,14.18
37.5,0.44932891466445735,370.270208,11.038,14.18
38.0,0.661126245847176,370.270208,11.108,14.18
38.5,0.5352019950124688,370.270208,11.194,14.324
39.0,0.5637009966777409,370.270208,11.194,14.324
39.5,0.7918003327787022,370.270208,11.194,14.324
40.0,0.5454908485856905,370.270208,11.28,14.468
40.5,1.0542502071251034,370.274304,11.28,14.468
41.0,0.6171328903654486,370.274304,11.28,14.468
41.5,0.5129652892561984,370.2784,11.366,14.612
42.0,0.7018205980066445,370.2784,11.366,14.612
42.5,0.5705835411471322,370.2784,11.452,14.756
43.0,0.7683186721991702,370.2784,11.452,14.756
43.5,0.8064538653366584,370.2784,11.452,14.756
44.0,0.7023640897755611,370.282496,11.538,14.9
44.5,0.8634214463840398,370.282496,11.538,14.9
45.0,0.45785228215767637,370.282496,11.538,14.9
45.5,0.8929441201000834,370.413568,11.624,15.044
46.0,0.5444625623960067,370.315264,11.624,15.044
46.5,0.5470124688279302,370.315264,11.624,15.044
47.0,1.0204485049833887,370.458624,11.71,15.188
47.5,0.5478970954356848,370.33984,11.71,15.188
48.0,0.8017873754152823,370.343936,11.71,15.188
48.5,0.5917375415282392,370.348032,11.796,15.332
49.0,0.4829501661129568,370.356224,11.796,15.332
49.5,0.6335320566194838,370.356224,11.796,15.332
50.0,0.586891846921797,370.356224,11.882,15.476
50.5,0.8834537885095753,370.487296,11.882,15.476
51.0,0.5230183028286189,370.356224,11.882,15.476
51.5,0.5233250620347395,370.356224,11.968,15.62
52.0,0.701409429280397,370.36032,11.968,15.62
52.5,1.0977452123230642,370.491392,11.968,15.62
53.0,0.6204448132780084,370.364416,12.054,15.764
53.5,0.4427210657785179,370.364416,12.054,15.764
